,index,description,dir_name,num_snps_found,num_coding_snps_found,num_overlapping_snps,num_overlapping_loci,num_original_list,num_original_coding_snps,p_value_threshold,percentage_loci_recovered,ld_based_clumping,r2_threshold,kb_radius,window_size
6040,6040,Tachycardia NOS,phecode-427.7-both_sexes.tsv,0,0,0,0,0,0,3.5798935346425614e-07,1.0,True,0.2,500,
6041,6041,Sinoatrial node dysfunction (Bradycardia),phecode-427.8-both_sexes.tsv,1,0,0,1,1,0,3.815717983527745e-07,1.0,True,0.2,500,
6042,6042,Palpitations,phecode-427.9-both_sexes.tsv,0,0,0,0,0,0,4.253024324781726e-07,1.0,True,0.2,500,
6044,6044,Congestive heart failure (CHF) NOS,phecode-428.1-both_sexes.tsv,0,0,0,0,0,0,3.38650452883958e-07,1.0,True,0.2,500,
6045,6045,Heart failure NOS,phecode-428.2-both_sexes.tsv,2,0,0,2,4,0,4.2530273048687494e-07,0.5,True,0.2,500,
6048,6048,Symptoms involving cardiovascular system,phecode-429.3-both_sexes.tsv,0,0,0,0,0,0,3.14870208515621e-07,1.0,True,0.2,500,
6050,6050,Subarachnoid hemorrhage,phecode-430.1-both_sexes.tsv,0,0,0,0,0,0,4.403339668900985e-07,1.0,True,0.2,500,
6051,6051,Intracerebral hemorrhage,phecode-430.2-both_sexes.tsv,1,0,0,0,0,0,2.872822283033592e-07,1.0,True,0.2,500,
6052,6052,Subdural hemorrhage,phecode-430.3-both_sexes.tsv,0,0,0,0,0,0,4.4033393877367414e-07,1.0,True,0.2,500,
6054,6054,Occlusion and stenosis of precerebral arteries,phecode-433.1-both_sexes.tsv,1,0,0,1,1,0,3.248384943646739e-07,1.0,True,0.2,500,
6055,6055,"Occlusion of cerebral arteries, with cerebral infarction",phecode-433.11-both_sexes.tsv,1,0,0,1,1,0,3.638471103123245e-07,1.0,True,0.2,500,
6056,6056,Cerebral atherosclerosis,phecode-433.12-both_sexes.tsv,0,0,0,0,0,0,4.4033393877367414e-07,1.0,True,0.2,500,
6057,6057,Occlusion of cerebral arteries,phecode-433.2-both_sexes.tsv,0,0,0,0,0,0,4.407633666385716e-07,1.0,True,0.2,500,
6058,6058,"Cerebral artery occlusion, with cerebral infarction",phecode-433.21-both_sexes.tsv,0,0,0,0,0,0,4.355849319966981e-07,1.0,True,0.2,500,
6059,6059,Cerebral ischemia,phecode-433.3-both_sexes.tsv,0,0,0,0,0,0,3.163302789677234e-07,1.0,True,0.2,500,
6060,6060,Transient cerebral ischemia,phecode-433.31-both_sexes.tsv,0,0,0,0,0,0,2.84789438456524e-07,1.0,True,0.2,500,
6061,6061,Cerebral aneurysm,phecode-433.5-both_sexes.tsv,0,0,0,0,1,0,4.743638004180026e-07,1.0,True,0.2,500,
6062,6062,Late effects of cerebrovascular disease,phecode-433.8-both_sexes.tsv,0,0,0,0,0,0,4.827665897047807e-07,1.0,True,0.2,500,
6064,6064,Atherosclerosis of renal artery,phecode-440.1-both_sexes.tsv,0,0,0,0,0,0,3.6135591828108033e-07,1.0,True,0.2,500,
6065,6065,Atherosclerosis of the extremities,phecode-440.2-both_sexes.tsv,1,0,1,1,2,0,4.312146358306253e-07,0.5,True,0.2,500,
6066,6066,Atherosclerosis of aorta,phecode-440.9-both_sexes.tsv,0,0,0,0,0,0,3.677627948415324e-07,1.0,True,0.2,500,
6068,6068,Acute vascular insufficiency of intestine,phecode-441.1-both_sexes.tsv,0,0,0,0,1,0,3.173422182992853e-07,1.0,True,0.2,500,
6070,6070,Aortic aneurysm,phecode-442.1-both_sexes.tsv,3,1,1,2,2,0,3.647238515141508e-07,1.0,True,0.2,500,
