,index,description,dir_name,num_snps_found,num_coding_snps_found,num_overlapping_snps,num_overlapping_loci,num_original_list,num_original_coding_snps,p_value_threshold,percentage_loci_recovered,ld_based_clumping,r2_threshold,kb_radius,window_size
6254,6254,Impaction of intestine,phecode-560.2-both_sexes.tsv,0,0,0,0,0,0,4.460559902249236e-07,1.0,True,0.2,500,
6255,6255,Peritoneal or intestinal adhesions,phecode-560.3-both_sexes.tsv,0,0,0,0,0,0,3.051256982804843e-07,1.0,True,0.2,500,
6256,6256,Other intestinal obstruction,phecode-560.4-both_sexes.tsv,1,0,0,0,0,0,3.525783765505447e-07,1.0,True,0.2,500,
6258,6258,Diarrhea,phecode-561.1-both_sexes.tsv,8,5,1,8,8,0,3.681667704966207e-07,1.0,True,0.2,500,
6259,6259,Flatulence,phecode-561.2-both_sexes.tsv,0,0,0,0,0,0,3.568856690671191e-07,1.0,True,0.2,500,
6261,6261,Diverticulosis,phecode-562.1-both_sexes.tsv,54,27,11,61,77,8,4.419318489695841e-07,0.7922077922077922,True,0.2,500,
6264,6264,Irritable Bowel Syndrome,phecode-564.1-both_sexes.tsv,1,0,0,0,0,0,3.7525666545259793e-07,1.0,True,0.2,500,
6268,6268,Anal and rectal polyp,phecode-565.1-both_sexes.tsv,9,2,3,8,9,1,3.6709520558912525e-07,0.8888888888888888,True,0.2,500,
6271,6271,Peritoneal adhesions (postoperative) (postinfection),phecode-568.1-both_sexes.tsv,1,1,1,1,1,1,2.764547319755965e-07,1.0,True,0.2,500,
6273,6273,Toxic gastroenteritis and colitis,phecode-569.1-both_sexes.tsv,0,0,0,0,0,0,3.629613612355282e-07,1.0,True,0.2,500,
6274,6274,Gastrointestinal complications,phecode-569.2-both_sexes.tsv,0,0,0,0,0,0,2.527356130781396e-07,1.0,True,0.2,500,
6276,6276,Other chronic nonalcoholic liver disease,phecode-571.5-both_sexes.tsv,4,2,1,4,4,0,3.704423097547874e-07,1.0,True,0.2,500,
6277,6277,Cirrhosis of liver without mention of alcohol,phecode-571.51-both_sexes.tsv,1,0,0,0,0,0,3.306869918888022e-07,1.0,True,0.2,500,
6278,6278,Primary biliary cirrhosis,phecode-571.6-both_sexes.tsv,3,1,1,2,2,0,2.905361213568919e-07,1.0,True,0.2,500,
6279,6279,Liver abscess and sequelae of chronic liver disease,phecode-571.8-both_sexes.tsv,1,1,1,1,1,1,2.791711186573616e-07,1.0,True,0.2,500,
6280,6280,Portal hypertension,phecode-571.81-both_sexes.tsv,1,1,1,1,1,1,2.920562626460414e-07,1.0,True,0.2,500,
6284,6284,Hepatomegaly,phecode-573.3-both_sexes.tsv,0,0,0,0,0,0,2.904712171424799e-07,1.0,True,0.2,500,
6285,6285,Jaundice (not of newborn),phecode-573.5-both_sexes.tsv,0,0,0,0,0,0,3.20003718816599e-07,1.0,True,0.2,500,
6287,6287,Abnormal serum enzyme levels,phecode-573.9-both_sexes.tsv,0,0,0,0,0,0,2.937081761902708e-07,1.0,True,0.2,500,
6289,6289,Cholelithiasis,phecode-574.1-both_sexes.tsv,44,21,17,54,57,10,3.190848564239442e-07,0.9473684210526316,True,0.2,500,
6290,6290,Cholelithiasis with acute cholecystitis,phecode-574.11-both_sexes.tsv,3,1,1,5,5,0,3.191298422474321e-07,1.0,True,0.2,500,
6291,6291,Cholelithiasis with other cholecystitis,phecode-574.12-both_sexes.tsv,15,8,11,20,20,7,3.198699579962206e-07,1.0,True,0.2,500,
6292,6292,Calculus of bile duct,phecode-574.2-both_sexes.tsv,3,0,1,7,7,0,3.191298422474321e-07,1.0,True,0.2,500,
6293,6293,Cholecystitis without cholelithiasis,phecode-574.3-both_sexes.tsv,4,0,2,5,6,0,3.313820183309426e-07,0.8333333333333334,True,0.2,500,
6295,6295,Cholangitis,phecode-575.1-both_sexes.tsv,0,0,0,0,0,0,3.200037596827155e-07,1.0,True,0.2,500,
6296,6296,Obstruction of bile duct,phecode-575.2-both_sexes.tsv,0,0,0,0,0,0,2.909641804388239e-07,1.0,True,0.2,500,
6297,6297,Cholesterolosis of gallbladder,phecode-575.6-both_sexes.tsv,3,1,1,2,3,1,3.009485567187416e-07,0.6666666666666666,True,0.2,500,
6298,6298,Other disorders of gallbladder,phecode-575.7-both_sexes.tsv,1,1,0,1,1,0,3.072651016455402e-07,1.0,True,0.2,500,
6299,6299,Other disorders of biliary tract,phecode-575.8-both_sexes.tsv,2,0,1,1,1,0,2.7456846117298894e-07,1.0,True,0.2,500,
6302,6302,Acute pancreatitis,phecode-577.1-both_sexes.tsv,2,1,0,1,1,0,5.127485697918056e-07,1.0,True,0.2,500,
6303,6303,Chronic pancreatitis,phecode-577.2-both_sexes.tsv,0,0,0,0,0,0,5.128574441315993e-07,1.0,True,0.2,500,
6304,6304,Cyst and pseudocyst of pancreas,phecode-577.3-both_sexes.tsv,0,0,0,0,0,0,4.815595902049159e-07,1.0,True,0.2,500,
6306,6306,Hematemesis,phecode-578.1-both_sexes.tsv,0,0,0,0,0,0,3.711065315777965e-07,1.0,True,0.2,500,
6307,6307,Blood in stool,phecode-578.2-both_sexes.tsv,0,0,0,0,0,0,3.229620644695504e-07,1.0,True,0.2,500,
6308,6308,Hemorrhage of rectum and anus,phecode-578.8-both_sexes.tsv,0,0,0,0,0,0,4.136911208433824e-07,1.0,True,0.2,500,
6309,6309,Hemorrhage of gastrointestinal tract,phecode-578.9-both_sexes.tsv,0,0,0,0,0,0,3.2999683288883017e-07,1.0,True,0.2,500,
6311,6311,Splenomegaly,phecode-579.2-both_sexes.tsv,0,0,0,0,0,0,2.726094332475989e-07,1.0,True,0.2,500,
6312,6312,Nonspecific abnormal findings in stool contents,phecode-579.8-both_sexes.tsv,0,0,0,0,0,0,3.265206694102057e-07,1.0,True,0.2,500,
6314,6314,Glomerulonephritis,phecode-580.1-both_sexes.tsv,0,0,0,0,0,0,3.759843576395391e-07,1.0,True,0.2,500,
6315,6315,Non-proliferative glomerulonephritis,phecode-580.12-both_sexes.tsv,5,4,1,6,6,1,4.133216242465189e-07,1.0,True,0.2,500,
6316,6316,"Chronic glomerulonephritis, NOS",phecode-580.14-both_sexes.tsv,0,0,0,0,0,0,4.519471922051133e-07,1.0,True,0.2,500,
6317,6317,Nephrotic syndrome without mention of glomerulonephritis,phecode-580.2-both_sexes.tsv,8,6,4,11,11,3,3.497806253482447e-07,1.0,True,0.2,500,
6318,6318,Nephritis and nephropathy without mention of glomerulonephritis,phecode-580.3-both_sexes.tsv,3,3,1,1,1,1,3.820692031135943e-07,1.0,True,0.2,500,
6319,6319,Nephritis and nephropathy in diseases classified elsewhere,phecode-580.31-both_sexes.tsv,1,1,1,1,1,1,3.1451555700150414e-07,1.0,True,0.2,500,
6320,6320,Nephritis and nephropathy with pathological lesion,phecode-580.32-both_sexes.tsv,0,0,0,0,0,0,3.49715289808179e-07,1.0,True,0.2,500,
6322,6322,Acute renal failure,phecode-585.1-both_sexes.tsv,0,0,0,0,0,0,3.3379495783436944e-07,1.0,True,0.2,500,
6323,6323,Renal failure NOS,phecode-585.2-both_sexes.tsv,0,0,0,0,0,0,3.337950786521637e-07,1.0,True,0.2,500,
6324,6324,Chronic renal failure [CKD],phecode-585.3-both_sexes.tsv,5,2,3,3,4,1,3.323808524573485e-07,0.75,True,0.2,500,
6327,6327,Anatomical abnormatilies of kidney and ureters,phecode-586.1-both_sexes.tsv,0,0,0,0,0,0,3.168007008779585e-07,1.0,True,0.2,500,
6328,6328,Small kidney,phecode-586.11-both_sexes.tsv,0,0,0,0,0,0,4.0459362853019697e-07,1.0,True,0.2,500,
6329,6329,"Cyst of kidney, acquired",phecode-586.2-both_sexes.tsv,0,0,0,0,0,0,4.519471922051133e-07,1.0,True,0.2,500,
6330,6330,Vascular disorders of kidney/hypertrophy,phecode-586.3-both_sexes.tsv,0,0,0,0,0,0,3.325595805367133e-07,1.0,True,0.2,500,
6331,6331,Stricture/obstruction of ureter,phecode-586.4-both_sexes.tsv,0,0,0,0,0,0,2.989868748866467e-07,1.0,True,0.2,500,
6338,6338,Cystitis,phecode-592.1-both_sexes.tsv,1,1,0,0,0,0,4.692996595471642e-07,1.0,True,0.2,500,
6339,6339,Acute cystitis,phecode-592.11-both_sexes.tsv,0,0,0,0,0,0,4.693959644242073e-07,1.0,True,0.2,500,
6340,6340,Chronic cystitis,phecode-592.12-both_sexes.tsv,0,0,0,0,1,0,4.693957429922061e-07,1.0,True,0.2,500,
6341,6341,Chronic interstitial cystitis,phecode-592.13-both_sexes.tsv,0,0,0,0,0,0,4.693959644242073e-07,1.0,True,0.2,500,
6342,6342,Urethritis and urethral syndrome,phecode-592.2-both_sexes.tsv,0,0,0,0,0,0,4.693957130200322e-07,1.0,True,0.2,500,
6346,6346,Calculus of kidney,phecode-594.1-both_sexes.tsv,10,4,2,6,6,0,3.059194752689145e-07,1.0,True,0.2,500,
6347,6347,Calculus of lower urinary tract,phecode-594.2-both_sexes.tsv,0,0,0,0,0,0,3.528725340072444e-07,1.0,True,0.2,500,
6348,6348,Calculus of ureter,phecode-594.3-both_sexes.tsv,3,1,1,1,3,0,3.404704988848824e-07,0.3333333333333333,True,0.2,500,
6349,6349,Renal colic,phecode-594.8-both_sexes.tsv,0,0,0,0,0,0,3.909178590534728e-07,1.0,True,0.2,500,
6352,6352,Bladder neck obstruction,phecode-596.1-both_sexes.tsv,1,1,0,1,1,0,3.366919734379945e-07,1.0,True,0.2,500,
6353,6353,Functional disorders of bladder,phecode-596.5-both_sexes.tsv,0,0,0,0,0,0,4.693964207251464e-07,1.0,True,0.2,500,
6355,6355,Urethral stricture (not specified as infectious),phecode-597.1-both_sexes.tsv,2,1,0,0,0,0,3.536045825707892e-07,1.0,True,0.2,500,
6356,6356,Urinary complications NEC,phecode-597.2-both_sexes.tsv,0,0,0,0,0,0,3.251574423853721e-07,1.0,True,0.2,500,
6358,6358,Other nonspecific findings on examination of urine,phecode-598.9-both_sexes.tsv,0,0,0,0,0,0,3.050553833435855e-07,1.0,True,0.2,500,
6360,6360,Urinary obstruction,phecode-599.1-both_sexes.tsv,0,0,0,0,0,0,3.0497818852967544e-07,1.0,True,0.2,500,
6361,6361,Retention of urine,phecode-599.2-both_sexes.tsv,2,0,2,2,3,0,3.074269590318137e-07,0.6666666666666666,True,0.2,500,
6362,6362,Dysuria,phecode-599.3-both_sexes.tsv,0,0,0,0,0,0,3.361355093389671e-07,1.0,True,0.2,500,
6363,6363,Urinary incontinence,phecode-599.4-both_sexes.tsv,0,0,0,0,0,0,3.975303762779838e-07,1.0,True,0.2,500,
6364,6364,Frequency of urination and polyuria,phecode-599.5-both_sexes.tsv,0,0,0,0,0,0,3.333547331051636e-07,1.0,True,0.2,500,
6365,6365,Oliguria and anuria,phecode-599.6-both_sexes.tsv,0,0,0,0,0,0,3.5608412291025106e-07,1.0,True,0.2,500,
6366,6366,Other abnormality of urination,phecode-599.9-both_sexes.tsv,0,0,0,0,0,0,3.366918172253236e-07,1.0,True,0.2,500,
6369,6369,Prostatitis,phecode-601.1-males.tsv,1,0,1,1,1,0,4.602123757516621e-07,1.0,True,0.2,500,
6370,6370,Acute prostatitis,phecode-601.11-males.tsv,0,0,0,0,0,0,3.279972986911137e-07,1.0,True,0.2,500,
6371,6371,Chronic prostatitis,phecode-601.12-males.tsv,0,0,0,0,1,0,3.065350713886079e-07,1.0,True,0.2,500,
6372,6372,Orchitis and epididymitis,phecode-601.3-males.tsv,1,0,0,1,1,0,4.443272228266329e-07,1.0,True,0.2,500,
6373,6373,Balanoposthitis,phecode-601.4-males.tsv,0,0,0,0,0,0,2.901266972014704e-07,1.0,True,0.2,500,
6374,6374,Other inflammatory disorders of male genital organs,phecode-601.8-males.tsv,0,0,0,0,0,0,2.532840553304291e-07,1.0,True,0.2,500,
6377,6377,Hydrocele,phecode-603.1-males.tsv,3,2,2,4,4,2,4.731634795410345e-07,1.0,True,0.2,500,
6379,6379,Redundant prepuce and phimosis/BXO,phecode-604.1-males.tsv,8,7,2,15,15,3,3.556876954241086e-07,1.0,True,0.2,500,
6383,6383,Abnormal spermatozoa,phecode-609.2-males.tsv,0,0,0,0,0,0,3.3313614868056125e-07,1.0,True,0.2,500,
6385,6385,Cystic mastopathy,phecode-610.1-females.tsv,0,0,0,0,0,0,3.3665560665870665e-07,1.0,True,0.2,500,
6386,6386,Fibroadenosis of breast,phecode-610.2-females.tsv,0,0,0,0,0,0,4.448733631698952e-07,1.0,True,0.2,500,
6387,6387,Fibrosclerosis of breast,phecode-610.3-females.tsv,0,0,0,0,0,0,4.448733347613369e-07,1.0,True,0.2,500,
6388,6388,Benign neoplasm of breast,phecode-610.4-females.tsv,3,0,0,2,2,0,4.022247372476752e-07,1.0,True,0.2,500,
6389,6389,Other specified benign mammary dysplasias,phecode-610.8-females.tsv,2,1,0,0,0,0,5.101571463847992e-07,1.0,True,0.2,500,
6391,6391,Lump or mass in breast,phecode-611.3-both_sexes.tsv,1,0,0,0,0,0,3.164969975292315e-07,1.0,True,0.2,500,
6393,6393,Hypertrophy of breast (Gynecomastia),phecode-612.2-both_sexes.tsv,0,0,0,0,0,0,2.648074733410189e-07,1.0,True,0.2,500,
6395,6395,Inflammatory disease of breast,phecode-613.1-both_sexes.tsv,0,0,0,0,0,0,4.448904526827063e-07,1.0,True,0.2,500,
6396,6396,Other signs and symptoms in breast,phecode-613.7-both_sexes.tsv,1,0,0,0,0,0,4.583640887887804e-07,1.0,True,0.2,500,
6397,6397,Other specified disorders of breast,phecode-613.8-both_sexes.tsv,0,0,0,0,0,0,4.257212151393881e-07,1.0,True,0.2,500,
6399,6399,"Pelvic peritoneal adhesions, female (postoperative) (postinfection)",phecode-614.1-females.tsv,0,0,0,0,0,0,2.669567976943879e-07,1.0,True,0.2,500,
6400,6400,Pelvic inflammatory disease (PID),phecode-614.3-females.tsv,0,0,0,0,0,0,2.91281969725716e-07,1.0,True,0.2,500,
6401,6401,Chronic inflammatory pelvic disease,phecode-614.32-females.tsv,0,0,0,0,0,0,2.98937406151606e-07,1.0,True,0.2,500,
6402,6402,"Pelvic inflammatory disease, NOS",phecode-614.33-females.tsv,0,0,0,0,0,0,4.1890626889243894e-07,1.0,True,0.2,500,
6403,6403,"Inflammatory diseases of uterus, except cervix",phecode-614.4-females.tsv,0,0,0,0,0,0,5.281374911133085e-07,1.0,True,0.2,500,
6404,6404,"Inflammatory disease of cervix, vagina, and vulva",phecode-614.5-females.tsv,0,0,0,0,0,0,3.319044323088646e-07,1.0,True,0.2,500,
6405,6405,Cervicitis and endocervicitis,phecode-614.51-females.tsv,0,0,0,0,0,0,3.9720132766931446e-07,1.0,True,0.2,500,
6406,6406,Vaginitis and vulvovaginitis,phecode-614.52-females.tsv,0,0,0,0,0,0,5.34285744504021e-07,1.0,True,0.2,500,
6407,6407,Cyst or abscess of Bartholin's gland,phecode-614.53-females.tsv,0,0,0,0,0,0,3.236764978223414e-07,1.0,True,0.2,500,
6408,6408,Abscess or ulceration of vulva,phecode-614.54-females.tsv,0,0,0,0,0,0,3.7678989057101334e-07,1.0,True,0.2,500,
6412,6412,Prolapse of vaginal walls,phecode-618.1-females.tsv,14,4,2,15,19,1,3.554553833654773e-07,0.7894736842105263,True,0.2,500,
6413,6413,Uterine/Uterovaginal prolapse,phecode-618.2-females.tsv,5,1,1,5,7,1,4.188317002629367e-07,0.7142857142857143,True,0.2,500,
6414,6414,Prolapse of vaginal vault after hysterectomy,phecode-618.5-females.tsv,1,0,0,0,0,0,3.554771270138316e-07,1.0,True,0.2,500,
6415,6415,"Vaginal enterocele, congenital or acquired",phecode-618.6-females.tsv,0,0,0,0,0,0,4.189158729802057e-07,1.0,True,0.2,500,
6417,6417,"Noninflammatory disorders of ovary, fallopian tube, and broad ligament",phecode-619.1-females.tsv,0,0,0,0,0,0,4.709268431184582e-07,1.0,True,0.2,500,
6418,6418,"Disorders of uterus, NEC",phecode-619.2-females.tsv,1,1,0,0,0,0,5.280673956149946e-07,1.0,True,0.2,500,
6419,6419,Noninflammatory disorders of cervix,phecode-619.3-females.tsv,0,0,0,0,0,0,3.959638298957643e-07,1.0,True,0.2,500,
6420,6420,Noninflammatory disorders of vagina,phecode-619.4-females.tsv,0,0,0,0,0,0,5.342856821176417e-07,1.0,True,0.2,500,
6421,6421,Noninflammatory disorders of vulva and perineum,phecode-619.5-females.tsv,0,0,0,0,0,0,3.767974784052357e-07,1.0,True,0.2,500,
6424,6424,Polyp of corpus uteri,phecode-622.1-females.tsv,2,0,0,1,1,0,3.656385608989372e-07,1.0,True,0.2,500,
6425,6425,Mucous polyp of cervix,phecode-622.2-females.tsv,0,0,0,0,0,0,4.116088514391463e-07,1.0,True,0.2,500,
6428,6428,Dystrophy of female genital tract,phecode-624.1-females.tsv,0,0,0,0,0,0,4.189074733324559e-07,1.0,True,0.2,500,
6429,6429,Atrophy of female genital tract,phecode-624.2-females.tsv,0,0,0,0,0,0,4.189159460113037e-07,1.0,True,0.2,500,
6430,6430,"stress incontinence, female",phecode-624.9-females.tsv,0,0,0,0,1,0,3.5545535781481925e-07,1.0,True,0.2,500,
6432,6432,Dyspareunia,phecode-625.1-females.tsv,0,0,0,0,0,0,2.5010813937665976e-07,1.0,True,0.2,500,
6434,6434,Irregular menstrual cycle/bleeding,phecode-626.1-females.tsv,3,1,0,3,4,0,3.4265582892558734e-07,0.75,True,0.2,500,
6435,6435,Absent or infrequent menstruation,phecode-626.11-females.tsv,0,0,0,0,0,0,4.1890289444117493e-07,1.0,True,0.2,500,
6436,6436,Excessive or frequent menstruation,phecode-626.12-females.tsv,1,0,0,1,1,0,3.887683348109047e-07,1.0,True,0.2,500,
6437,6437,Irregular menstrual cycle,phecode-626.13-females.tsv,0,0,0,0,0,0,3.888071052378063e-07,1.0,True,0.2,500,
6438,6438,Irregular menstrual bleeding,phecode-626.14-females.tsv,0,0,0,0,0,0,5.280637873968971e-07,1.0,True,0.2,500,
6439,6439,Dysmenorrhea,phecode-626.2-females.tsv,0,0,0,0,0,0,4.1882740122079046e-07,1.0,True,0.2,500,
6440,6440,Premenstrual tension syndromes,phecode-626.4-females.tsv,0,0,0,0,0,0,3.42711586877508e-07,1.0,True,0.2,500,
6441,6441,"Infertility, female",phecode-626.8-females.tsv,0,0,0,0,0,0,3.4271232777181293e-07,1.0,True,0.2,500,
6443,6443,Postmenopausal bleeding,phecode-627.1-females.tsv,0,0,0,0,0,0,2.789471606954026e-07,1.0,True,0.2,500,
6444,6444,Symptomatic menopause,phecode-627.2-females.tsv,0,0,0,0,0,0,4.189029746937028e-07,1.0,True,0.2,500,
6445,6445,Postmenopausal atrophic vaginitis,phecode-627.3-females.tsv,1,0,0,0,0,0,5.342814612330792e-07,1.0,True,0.2,500,
6446,6446,Premenopausal menorrhagia,phecode-627.4-females.tsv,0,0,0,0,0,0,4.1890289444117493e-07,1.0,True,0.2,500,
6449,6449,Missed abortion/Hydatidiform mole,phecode-634.1-females.tsv,0,0,0,0,0,0,3.2299211117289577e-07,1.0,True,0.2,500,
6450,6450,Ectopic pregnancy,phecode-634.3-females.tsv,0,0,0,0,0,0,2.849817471756348e-07,1.0,True,0.2,500,
6452,6452,"Antepartum hemorrhage, abruptio placentae, and placenta previa",phecode-635.2-females.tsv,0,0,0,0,0,0,3.543331904828061e-07,1.0,True,0.2,500,
6453,6453,Placenta previa and abruptio placenta,phecode-635.3-females.tsv,0,0,0,0,0,0,3.436754618096635e-07,1.0,True,0.2,500,
6455,6455,Early onset of delivery,phecode-636.2-females.tsv,0,0,0,0,0,0,3.279508086174342e-07,1.0,True,0.2,500,
6456,6456,Hemorrhage in early pregnancy,phecode-636.3-females.tsv,0,0,0,0,0,0,3.024633757789552e-07,1.0,True,0.2,500,
6458,6458,Preeclampsia and eclampsia,phecode-642.1-females.tsv,1,0,0,1,1,0,2.912793158966896e-07,1.0,True,0.2,500,
6460,6460,Hyperemesis gravidarum,phecode-643.1-females.tsv,1,0,0,0,0,0,3.28755114508304e-07,1.0,True,0.2,500,
6464,6464,Infections of genitourinary tract during pregnancy,phecode-647.1-females.tsv,0,0,0,0,1,0,2.652429246209776e-07,1.0,True,0.2,500,
6466,6466,Diabetes or abnormal glucose tolerance complicating pregnancy,phecode-649.1-females.tsv,0,0,0,0,0,0,3.160896829597048e-07,1.0,True,0.2,500,
6471,6471,"Abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, or the puerperium",phecode-654.1-females.tsv,0,0,0,0,0,0,3.351246678182159e-07,1.0,True,0.2,500,
6472,6472,Rhesus isoimmunization in pregnancy,phecode-654.2-females.tsv,6,2,1,13,14,0,3.14131733427908e-07,0.9285714285714286,True,0.2,500,
6482,6482,Cellulitis and abscess of fingers/toes,phecode-681.1-both_sexes.tsv,0,0,0,0,0,0,3.918458543713126e-07,1.0,True,0.2,500,
6483,6483,Cellulitis and abscess of face/neck,phecode-681.2-both_sexes.tsv,1,1,1,1,1,1,4.050310994328394e-07,1.0,True,0.2,500,
6484,6484,Cellulitis and abscess of arm/hand,phecode-681.3-both_sexes.tsv,2,0,1,1,1,0,3.607232545650087e-07,1.0,True,0.2,500,
6485,6485,Cellulitis and abscess of trunk,phecode-681.7-both_sexes.tsv,0,0,0,0,1,0,4.939206765309559e-07,1.0,True,0.2,500,
6487,6487,Carbuncle and furuncle,phecode-686.1-both_sexes.tsv,1,0,0,0,0,0,4.050304124086969e-07,1.0,True,0.2,500,
6488,6488,Pilonidal cyst,phecode-686.3-both_sexes.tsv,0,0,0,0,0,0,3.9755547759547414e-07,1.0,True,0.2,500,
6489,6489,Pyogenic granuloma,phecode-686.4-both_sexes.tsv,0,0,0,0,0,0,3.25108175232667e-07,1.0,True,0.2,500,
6491,6491,Rash and other nonspecific skin eruption,phecode-687.1-both_sexes.tsv,0,0,0,0,0,0,3.343146157609436e-07,1.0,True,0.2,500,
6492,6492,"Localized superficial swelling, mass, or lump",phecode-687.2-both_sexes.tsv,0,0,0,0,0,0,4.049975387180569e-07,1.0,True,0.2,500,
6493,6493,Changes in skin texture,phecode-687.3-both_sexes.tsv,0,0,0,0,0,0,4.505818833021338e-07,1.0,True,0.2,500,
6494,6494,Disturbance of skin sensation,phecode-687.4-both_sexes.tsv,0,0,0,0,0,0,4.504860688976808e-07,1.0,True,0.2,500,
6498,6498,Other dyschromia,phecode-694.2-both_sexes.tsv,0,0,0,0,0,0,4.025471546316178e-07,1.0,True,0.2,500,
6499,6499,Vascular disorders of skin,phecode-694.3-both_sexes.tsv,0,0,0,0,0,0,3.122294299797524e-07,1.0,True,0.2,500,
6501,6501,Toxic erythema,phecode-695.1-both_sexes.tsv,0,0,0,0,0,0,3.467584545833365e-07,1.0,True,0.2,500,
6502,6502,Bullous dermatoses,phecode-695.2-both_sexes.tsv,0,0,0,0,0,0,3.467584545833365e-07,1.0,True,0.2,500,
6503,6503,Pemphigus and pemphigoid,phecode-695.22-both_sexes.tsv,0,0,0,0,0,0,4.233615212271546e-07,1.0,True,0.2,500,
6504,6504,Rosacea,phecode-695.3-both_sexes.tsv,0,0,0,0,0,0,3.467584545833365e-07,1.0,True,0.2,500,
6505,6505,Lupus (localized and systemic),phecode-695.4-both_sexes.tsv,21,10,2,27,27,2,3.805507200314139e-07,1.0,True,0.2,500,
6506,6506,Cutaneous lupus erythematosus,phecode-695.41-both_sexes.tsv,0,0,0,0,0,0,3.6078294047344155e-07,1.0,True,0.2,500,
6507,6507,Systemic lupus erythematosus,phecode-695.42-both_sexes.tsv,19,8,2,21,21,1,4.099263859049581e-07,1.0,True,0.2,500,
6508,6508,Prurigo and Lichen,phecode-695.7-both_sexes.tsv,4,3,0,3,3,0,3.467585431489413e-07,1.0,True,0.2,500,
6509,6509,Other specified erythematous conditions,phecode-695.8-both_sexes.tsv,0,0,0,0,0,0,3.467584988661388e-07,1.0,True,0.2,500,
6510,6510,Unspecified erythematous condition,phecode-695.9-both_sexes.tsv,0,0,0,0,0,0,3.467584988661388e-07,1.0,True,0.2,500,
6512,6512,Psoriasis,phecode-696.4-both_sexes.tsv,117,80,32,189,191,32,4.049974121660222e-07,0.9895287958115184,True,0.2,500,
6513,6513,Psoriasis vulgaris,phecode-696.41-both_sexes.tsv,10,4,1,14,14,2,4.050311950749954e-07,1.0,True,0.2,500,
6514,6514,Psoriatic arthropathy,phecode-696.42-both_sexes.tsv,44,31,7,66,66,12,3.3339612640076293e-07,1.0,True,0.2,500,
6519,6519,Scar conditions and fibrosis of skin,phecode-701.2-both_sexes.tsv,0,0,0,0,0,0,3.467587852690535e-07,1.0,True,0.2,500,
6520,6520,Keloid scar,phecode-701.4-both_sexes.tsv,0,0,0,0,0,0,3.4675880741046457e-07,1.0,True,0.2,500,
6521,6521,Abnormal granulation tissue,phecode-701.5-both_sexes.tsv,0,0,0,0,0,0,4.505870167534115e-07,1.0,True,0.2,500,
6522,6522,Acquired acanthosis nigricans,phecode-701.6-both_sexes.tsv,0,0,0,0,0,0,3.467587409862316e-07,1.0,True,0.2,500,
6524,6524,Actinic keratosis,phecode-702.1-both_sexes.tsv,5,2,2,7,7,1,4.0503160887138073e-07,1.0,True,0.2,500,
6525,6525,Seborrheic keratosis,phecode-702.2-both_sexes.tsv,3,1,0,3,4,0,3.467587409862316e-07,0.75,True,0.2,500,
6527,6527,Ingrowing nail,phecode-703.1-both_sexes.tsv,1,0,0,0,0,0,4.3274933724309706e-07,1.0,True,0.2,500,
6529,6529,Alopecia,phecode-704.1-both_sexes.tsv,0,0,0,0,0,0,4.939211849754917e-07,1.0,True,0.2,500,
6531,6531,Hidradenitis,phecode-705.3-both_sexes.tsv,0,0,0,0,0,0,4.2336181681543684e-07,1.0,True,0.2,500,
6532,6532,Hyperhidrosis,phecode-705.8-both_sexes.tsv,0,0,0,0,0,0,4.050314304379468e-07,1.0,True,0.2,500,
6534,6534,Sebaceous cyst,phecode-706.2-both_sexes.tsv,21,12,5,35,36,4,4.0499761619807613e-07,0.9722222222222222,True,0.2,500,
6536,6536,Decubitus ulcer,phecode-707.1-both_sexes.tsv,0,0,0,0,0,0,4.138886627842444e-07,1.0,True,0.2,500,
6538,6538,Sicca syndrome,phecode-709.2-both_sexes.tsv,22,16,7,32,32,6,4.233615212271546e-07,1.0,True,0.2,500,
6539,6539,Systemic sclerosis,phecode-709.3-both_sexes.tsv,0,0,0,0,0,0,4.0503121833489453e-07,1.0,True,0.2,500,
6540,6540,Unspecified diffuse connective tissue disease,phecode-709.7-both_sexes.tsv,0,0,0,0,0,0,4.050311407481124e-07,1.0,True,0.2,500,
6542,6542,Osteomyelitis,phecode-710.1-both_sexes.tsv,0,0,0,0,0,0,3.7265331578215996e-07,1.0,True,0.2,500,
6543,6543,Chronic osteomyelitis,phecode-710.12-both_sexes.tsv,0,0,0,0,0,0,4.890504413973576e-07,1.0,True,0.2,500,
6544,6544,Unspecified osteomyelitis,phecode-710.19-both_sexes.tsv,0,0,0,0,0,0,2.492548936596888e-07,1.0,True,0.2,500,
6546,6546,Pyogenic arthritis,phecode-711.1-both_sexes.tsv,0,0,0,0,0,0,3.726533395771347e-07,1.0,True,0.2,500,
6550,6550,Rheumatoid arthritis,phecode-714.1-both_sexes.tsv,79,51,13,140,143,9,3.143579568098187e-07,0.9790209790209792,True,0.2,500,
6552,6552,Sacroiliitis NEC,phecode-715.1-both_sexes.tsv,0,0,0,0,0,0,3.375376634236968e-07,1.0,True,0.2,500,
6553,6553,Ankylosing spondylitis,phecode-715.2-both_sexes.tsv,52,37,16,97,97,17,3.586091078995612e-07,1.0,True,0.2,500,
6555,6555,Unspecified monoarthritis,phecode-716.2-both_sexes.tsv,11,3,1,7,9,1,3.0936641030241254e-07,0.7777777777777778,True,0.2,500,
