,index,description,alpha,dir_name,num_snps_found,num_coding_snps_found,num_overlapping_snps,num_overlapping_loci,num_original_list,num_original_coding_snps,p_value_threshold,percentage_loci_recovered,ld_based_clumping,r2_threshold,kb_radius,window_size
574,4085,Recent trouble concentrating on things,0.25,continuous-20508-both_sexes.tsv,1,0,0,0,0,0,5.064173536430408e-07,1.0,True,0.2,500,
575,4085,Recent trouble concentrating on things,0.5,continuous-20508-both_sexes.tsv,0,0,0,0,0,0,7.590197226779054e-08,1.0,True,0.2,500,
576,4092,Recent trouble relaxing,0.01,continuous-20515-both_sexes.tsv,0,0,0,0,1,0,1.8969611221960212e-06,1.0,True,0.2,500,
577,4092,Recent trouble relaxing,0.025,continuous-20515-both_sexes.tsv,0,0,0,0,1,0,1.8969611221960212e-06,1.0,True,0.2,500,
578,4092,Recent trouble relaxing,0.05,continuous-20515-both_sexes.tsv,0,0,0,0,1,0,1.896956534357496e-06,1.0,True,0.2,500,
579,4092,Recent trouble relaxing,0.1,continuous-20515-both_sexes.tsv,0,0,0,0,1,0,1.8969519465411617e-06,1.0,True,0.2,500,
580,4092,Recent trouble relaxing,0.25,continuous-20515-both_sexes.tsv,0,0,0,0,1,0,1.8969106571927464e-06,1.0,True,0.2,500,
581,4092,Recent trouble relaxing,0.5,continuous-20515-both_sexes.tsv,0,0,0,0,1,0,1.8968005610505188e-06,1.0,True,0.2,500,
582,4096,Recent feelings of tiredness or low energy,0.01,continuous-20519-both_sexes.tsv,2,2,1,1,4,1,1.896823270222753e-06,0.25,True,0.2,500,
583,4096,Recent feelings of tiredness or low energy,0.025,continuous-20519-both_sexes.tsv,2,2,1,1,4,1,1.896823270222753e-06,0.25,True,0.2,500,
584,4096,Recent feelings of tiredness or low energy,0.05,continuous-20519-both_sexes.tsv,2,2,1,1,4,1,1.8968140959447077e-06,0.25,True,0.2,500,
585,4096,Recent feelings of tiredness or low energy,0.1,continuous-20519-both_sexes.tsv,2,2,1,1,4,1,1.8968049217554068e-06,0.25,True,0.2,500,
586,4096,Recent feelings of tiredness or low energy,0.25,continuous-20519-both_sexes.tsv,2,2,1,1,4,1,1.8965893538512128e-06,0.25,True,0.2,500,
587,4096,Recent feelings of tiredness or low energy,0.5,continuous-20519-both_sexes.tsv,3,1,2,3,4,1,1.828959196251e-07,0.75,True,0.2,500,
588,4097,Recent worrying too much about different things,0.01,continuous-20520-both_sexes.tsv,0,0,0,0,1,0,1.8966132269374924e-06,1.0,True,0.2,500,
589,4097,Recent worrying too much about different things,0.025,continuous-20520-both_sexes.tsv,0,0,0,0,1,0,1.8965948824095523e-06,1.0,True,0.2,500,
590,4097,Recent worrying too much about different things,0.05,continuous-20520-both_sexes.tsv,0,0,0,0,1,0,1.8965306793562364e-06,1.0,True,0.2,500,
591,4097,Recent worrying too much about different things,0.1,continuous-20520-both_sexes.tsv,0,0,0,0,1,0,1.8963839458413924e-06,1.0,True,0.2,500,
592,4097,Recent worrying too much about different things,0.25,continuous-20520-both_sexes.tsv,1,0,0,1,1,0,6.304907791019773e-07,1.0,True,0.2,500,
593,4097,Recent worrying too much about different things,0.5,continuous-20520-both_sexes.tsv,1,0,1,1,1,0,1.0261725251220107e-07,1.0,True,0.2,500,
594,4115,Overall health rating,0.01,continuous-2178-both_sexes.tsv,111,111,10,112,174,12,1.897111976207172e-06,0.6436781609195402,True,0.2,500,
595,4115,Overall health rating,0.025,continuous-2178-both_sexes.tsv,111,111,10,112,174,12,1.8970936277425564e-06,0.6436781609195402,True,0.2,500,
596,4115,Overall health rating,0.05,continuous-2178-both_sexes.tsv,111,111,10,112,174,12,1.8970936277425564e-06,0.6436781609195402,True,0.2,500,
597,4115,Overall health rating,0.1,continuous-2178-both_sexes.tsv,158,78,11,142,174,12,1.00698146310911e-06,0.8160919540229885,True,0.2,500,
598,4115,Overall health rating,0.25,continuous-2178-both_sexes.tsv,167,24,59,160,174,12,1.561342383917502e-07,0.9195402298850576,True,0.2,500,
599,4115,Overall health rating,0.5,continuous-2178-both_sexes.tsv,171,16,102,169,174,12,7.881667984482752e-08,0.971264367816092,True,0.2,500,
600,4120,Age started wearing glasses or contact lenses,0.01,continuous-2217-both_sexes-irnt.tsv,86,86,7,80,124,8,1.8971101417666303e-06,0.6451612903225806,True,0.2,500,
601,4120,Age started wearing glasses or contact lenses,0.025,continuous-2217-both_sexes-irnt.tsv,86,86,7,80,124,8,1.8970963802983771e-06,0.6451612903225806,True,0.2,500,
602,4120,Age started wearing glasses or contact lenses,0.05,continuous-2217-both_sexes-irnt.tsv,101,46,11,96,124,8,9.01677611315932e-07,0.7741935483870968,True,0.2,500,
603,4120,Age started wearing glasses or contact lenses,0.1,continuous-2217-both_sexes-irnt.tsv,114,29,21,115,124,8,3.161668033422726e-07,0.9274193548387096,True,0.2,500,
604,4120,Age started wearing glasses or contact lenses,0.25,continuous-2217-both_sexes-irnt.tsv,124,17,52,121,124,8,1.1105401090182835e-07,0.9758064516129032,True,0.2,500,
605,4120,Age started wearing glasses or contact lenses,0.5,continuous-2217-both_sexes-irnt.tsv,125,10,88,121,124,8,6.986244460897823e-08,0.9758064516129032,True,0.2,500,
606,4122,Plays computer games,0.01,continuous-2237-both_sexes.tsv,46,46,2,34,57,2,1.8971258586879517e-06,0.5964912280701754,True,0.2,500,
607,4122,Plays computer games,0.025,continuous-2237-both_sexes.tsv,46,46,2,34,57,2,1.8971258586879517e-06,0.5964912280701754,True,0.2,500,
608,4122,Plays computer games,0.05,continuous-2237-both_sexes.tsv,46,46,2,34,57,2,1.8971258586879517e-06,0.5964912280701754,True,0.2,500,
609,4122,Plays computer games,0.1,continuous-2237-both_sexes.tsv,50,40,2,38,57,2,1.6051552497683068e-06,0.6666666666666666,True,0.2,500,
610,4122,Plays computer games,0.25,continuous-2237-both_sexes.tsv,68,7,18,55,57,2,1.8648837033522757e-07,0.9649122807017544,True,0.2,500,
611,4122,Plays computer games,0.5,continuous-2237-both_sexes.tsv,65,3,40,57,57,2,8.164487669426497e-08,1.0,True,0.2,500,
612,4147,Use of sun/uv protection,0.01,continuous-2267-both_sexes.tsv,92,92,11,158,185,13,1.8967310765303284e-06,0.8540540540540541,True,0.2,500,
613,4147,Use of sun/uv protection,0.025,continuous-2267-both_sexes.tsv,92,92,11,158,185,13,1.8967310765303284e-06,0.8540540540540541,True,0.2,500,
614,4147,Use of sun/uv protection,0.05,continuous-2267-both_sexes.tsv,92,92,11,158,185,13,1.896721905936106e-06,0.8540540540540541,True,0.2,500,
615,4147,Use of sun/uv protection,0.1,continuous-2267-both_sexes.tsv,91,91,11,158,185,13,1.896694394685503e-06,0.8540540540540541,True,0.2,500,
616,4147,Use of sun/uv protection,0.25,continuous-2267-both_sexes.tsv,91,91,11,158,185,13,1.896547681493281e-06,0.8540540540540541,True,0.2,500,
617,4147,Use of sun/uv protection,0.5,continuous-2267-both_sexes.tsv,91,91,11,158,185,13,1.8941301865429325e-06,0.8540540540540541,True,0.2,500,
618,4162,Frequency of solarium/sunlamp use,0.01,continuous-2277-both_sexes.tsv,2,2,0,0,1,0,1.89734587798008e-06,0.0,True,0.2,500,
619,4162,Frequency of solarium/sunlamp use,0.025,continuous-2277-both_sexes.tsv,2,2,0,0,1,0,1.89734587798008e-06,0.0,True,0.2,500,
620,4162,Frequency of solarium/sunlamp use,0.05,continuous-2277-both_sexes.tsv,2,2,0,0,1,0,1.89734587798008e-06,0.0,True,0.2,500,
621,4162,Frequency of solarium/sunlamp use,0.1,continuous-2277-both_sexes.tsv,2,2,0,0,1,0,1.897341286645936e-06,0.0,True,0.2,500,
622,4162,Frequency of solarium/sunlamp use,0.25,continuous-2277-both_sexes.tsv,2,2,0,0,1,0,1.897341286645936e-06,0.0,True,0.2,500,
623,4162,Frequency of solarium/sunlamp use,0.5,continuous-2277-both_sexes.tsv,2,0,1,1,1,0,1.4488688052045437e-07,1.0,True,0.2,500,
624,4245,Mean corpuscular volume,0.01,continuous-30040-both_sexes-irnt.tsv,,,,,,,,,,,,
625,4245,Mean corpuscular volume,0.025,continuous-30040-both_sexes-irnt.tsv,,,,,,,,,,,,
626,4245,Mean corpuscular volume,0.05,continuous-30040-both_sexes-irnt.tsv,,,,,,,,,,,,
627,4245,Mean corpuscular volume,0.1,continuous-30040-both_sexes-irnt.tsv,580.0,580.0,58.0,612.0,753.0,60.0,1.897119457985144e-06,0.8127490039840638,,,,
628,4245,Mean corpuscular volume,0.25,continuous-30040-both_sexes-irnt.tsv,,,,,,,,,,,,
629,4245,Mean corpuscular volume,0.5,continuous-30040-both_sexes-irnt.tsv,580,580,58,612,753,60,1.897087348123073e-06,0.8127490039840638,False,,,500000
630,4247,Mean corpuscular haemoglobin concentration,0.01,continuous-30060-both_sexes-irnt.tsv,,,,,,,,,,,,
631,4247,Mean corpuscular haemoglobin concentration,0.025,continuous-30060-both_sexes-irnt.tsv,,,,,,,,,,,,
632,4247,Mean corpuscular haemoglobin concentration,0.05,continuous-30060-both_sexes-irnt.tsv,,,,,,,,,,,,
633,4247,Mean corpuscular haemoglobin concentration,0.1,continuous-30060-both_sexes-irnt.tsv,126.0,69.0,15.0,107.0,135.0,9.0,9.429315697060234e-07,0.7925925925925926,,,,
634,4247,Mean corpuscular haemoglobin concentration,0.25,continuous-30060-both_sexes-irnt.tsv,,,,,,,,,,,,
635,4247,Mean corpuscular haemoglobin concentration,0.5,continuous-30060-both_sexes-irnt.tsv,133,11,84,128,135,9,7.967084648888941e-08,0.9481481481481482,False,,,500000
636,4251,Mean platelet (thrombocyte) volume,0.01,continuous-30100-both_sexes-irnt.tsv,,,,,,,,,,,,
637,4251,Mean platelet (thrombocyte) volume,0.025,continuous-30100-both_sexes-irnt.tsv,,,,,,,,,,,,
638,4251,Mean platelet (thrombocyte) volume,0.05,continuous-30100-both_sexes-irnt.tsv,,,,,,,,,,,,
639,4251,Mean platelet (thrombocyte) volume,0.1,continuous-30100-both_sexes-irnt.tsv,,,,,,,,,,,,
640,4251,Mean platelet (thrombocyte) volume,0.25,continuous-30100-both_sexes-irnt.tsv,,,,,,,,,,,,
641,4251,Mean platelet (thrombocyte) volume,0.5,continuous-30100-both_sexes-irnt.tsv,,,,,,,,,,,,
642,4256,Eosinophill count,0.01,continuous-30150-both_sexes-irnt.tsv,,,,,,,,,,,,
643,4256,Eosinophill count,0.025,continuous-30150-both_sexes-irnt.tsv,,,,,,,,,,,,
644,4256,Eosinophill count,0.05,continuous-30150-both_sexes-irnt.tsv,,,,,,,,,,,,
645,4256,Eosinophill count,0.1,continuous-30150-both_sexes-irnt.tsv,489.0,489.0,53.0,483.0,601.0,57.0,1.897128632431099e-06,0.8036605657237936,,,,
646,4256,Eosinophill count,0.25,continuous-30150-both_sexes-irnt.tsv,,,,,,,,,,,,
647,4256,Eosinophill count,0.5,continuous-30150-both_sexes-irnt.tsv,489,489,53,483,601,57,1.897128632431099e-06,0.8036605657237936,False,,,500000
648,4259,Lymphocyte percentage,0.01,continuous-30180-both_sexes-irnt.tsv,,,,,,,,,,,,
649,4259,Lymphocyte percentage,0.025,continuous-30180-both_sexes-irnt.tsv,,,,,,,,,,,,
650,4259,Lymphocyte percentage,0.05,continuous-30180-both_sexes-irnt.tsv,,,,,,,,,,,,
651,4259,Lymphocyte percentage,0.1,continuous-30180-both_sexes-irnt.tsv,544.0,156.0,121.0,510.0,551.0,57.0,3.106789108093061e-07,0.925589836660617,,,,
652,4259,Lymphocyte percentage,0.25,continuous-30180-both_sexes-irnt.tsv,,,,,,,,,,,,
653,4259,Lymphocyte percentage,0.5,continuous-30180-both_sexes-irnt.tsv,557,63,423,540,551,57,7.098415814710937e-08,0.9800362976406534,False,,,500000
654,4260,Monocyte percentage,0.01,continuous-30190-both_sexes-irnt.tsv,,,,,,,,,,,,
655,4260,Monocyte percentage,0.025,continuous-30190-both_sexes-irnt.tsv,,,,,,,,,,,,
656,4260,Monocyte percentage,0.05,continuous-30190-both_sexes-irnt.tsv,,,,,,,,,,,,
657,4260,Monocyte percentage,0.1,continuous-30190-both_sexes-irnt.tsv,452.0,440.0,43.0,458.0,557.0,44.0,1.7957202789520302e-06,0.822262118491921,,,,
658,4260,Monocyte percentage,0.25,continuous-30190-both_sexes-irnt.tsv,,,,,,,,,,,,
659,4260,Monocyte percentage,0.5,continuous-30190-both_sexes-irnt.tsv,452,437,43,460,557,44,1.780301789178702e-06,0.8258527827648114,False,,,500000
660,4269,Immature reticulocyte fraction,0.01,continuous-30280-both_sexes-irnt.tsv,,,,,,,,,,,,
661,4269,Immature reticulocyte fraction,0.025,continuous-30280-both_sexes-irnt.tsv,,,,,,,,,,,,
662,4269,Immature reticulocyte fraction,0.05,continuous-30280-both_sexes-irnt.tsv,,,,,,,,,,,,
663,4269,Immature reticulocyte fraction,0.1,continuous-30280-both_sexes-irnt.tsv,399.0,54.0,275.0,382.0,394.0,42.0,7.89718617746949e-08,0.9695431472081218,,,,
664,4269,Immature reticulocyte fraction,0.25,continuous-30280-both_sexes-irnt.tsv,,,,,,,,,,,,
665,4269,Immature reticulocyte fraction,0.5,continuous-30280-both_sexes-irnt.tsv,390,41,338,388,394,42,5.797810157487762e-08,0.9847715736040608,False,,,500000
666,4274,Potassium in urine,0.01,continuous-30520-both_sexes-irnt.tsv,39,39,3,31,41,4,1.8971099209323688e-06,0.7560975609756098,True,0.2,500,
667,4274,Potassium in urine,0.025,continuous-30520-both_sexes-irnt.tsv,39,39,3,31,41,4,1.8971007466656349e-06,0.7560975609756098,True,0.2,500,
668,4274,Potassium in urine,0.05,continuous-30520-both_sexes-irnt.tsv,39,39,3,31,41,4,1.8970869854319048e-06,0.7560975609756098,True,0.2,500,
669,4274,Potassium in urine,0.1,continuous-30520-both_sexes-irnt.tsv,40,35,3,34,41,4,1.4456797527970635e-06,0.8292682926829268,True,0.2,500,
670,4274,Potassium in urine,0.25,continuous-30520-both_sexes-irnt.tsv,36,8,13,35,41,4,1.9826259767984161e-07,0.8536585365853658,True,0.2,500,
671,4274,Potassium in urine,0.5,continuous-30520-both_sexes-irnt.tsv,41,4,29,40,41,4,8.227030042969759e-08,0.975609756097561,True,0.2,500,
672,4283,Heel bone mineral density (BMD),0.01,continuous-3148-both_sexes-irnt.tsv,,,,,,,,,,,,
673,4283,Heel bone mineral density (BMD),0.025,continuous-3148-both_sexes-irnt.tsv,,,,,,,,,,,,
674,4283,Heel bone mineral density (BMD),0.05,continuous-3148-both_sexes-irnt.tsv,,,,,,,,,,,,
675,4283,Heel bone mineral density (BMD),0.1,continuous-3148-both_sexes-irnt.tsv,,,,,,,,,,,,
676,4283,Heel bone mineral density (BMD),0.25,continuous-3148-both_sexes-irnt.tsv,,,,,,,,,,,,
677,4283,Heel bone mineral density (BMD),0.5,continuous-3148-both_sexes-irnt.tsv,,,,,,,,,,,,
678,4314,Number of correct matches in round,0.01,,,,,,,,,,,,,
679,4314,Number of correct matches in round,0.025,,,,,,,,,,,,,
680,4314,Number of correct matches in round,0.05,,,,,,,,,,,,,
681,4314,Number of correct matches in round,0.1,,,,,,,,,,,,,
682,4314,Number of correct matches in round,0.25,,,,,,,,,,,,,
683,4314,Number of correct matches in round,0.5,,,,,,,,,,,,,
684,4317,Time to complete round,0.01,continuous-400-both_sexes-irnt.tsv,139,139,15,124,173,20,1.8971069054648417e-06,0.7167630057803468,True,0.2,500,
685,4317,Time to complete round,0.025,continuous-400-both_sexes-irnt.tsv,139,139,15,124,173,20,1.8970977312348724e-06,0.7167630057803468,True,0.2,500,
686,4317,Time to complete round,0.05,continuous-400-both_sexes-irnt.tsv,139,139,15,124,173,20,1.897061035202294e-06,0.7167630057803468,True,0.2,500,
687,4317,Time to complete round,0.1,continuous-400-both_sexes-irnt.tsv,181,55,28,159,173,20,5.701904999305965e-07,0.9190751445086706,True,0.2,500,
688,4317,Time to complete round,0.25,continuous-400-both_sexes-irnt.tsv,179,32,58,163,173,20,1.625838238100754e-07,0.9421965317919077,True,0.2,500,
689,4317,Time to complete round,0.5,continuous-400-both_sexes-irnt.tsv,172,22,115,170,173,20,6.554375176946104e-08,0.9826589595375722,True,0.2,500,
690,4336,"Heel bone mineral density (BMD) T-score, automated (right)",0.01,continuous-4125-both_sexes-irnt.tsv,,,,,,,,,,,,
691,4336,"Heel bone mineral density (BMD) T-score, automated (right)",0.025,continuous-4125-both_sexes-irnt.tsv,,,,,,,,,,,,
692,4336,"Heel bone mineral density (BMD) T-score, automated (right)",0.05,continuous-4125-both_sexes-irnt.tsv,,,,,,,,,,,,
693,4336,"Heel bone mineral density (BMD) T-score, automated (right)",0.1,continuous-4125-both_sexes-irnt.tsv,,,,,,,,,,,,
694,4336,"Heel bone mineral density (BMD) T-score, automated (right)",0.25,continuous-4125-both_sexes-irnt.tsv,,,,,,,,,,,,
695,4336,"Heel bone mineral density (BMD) T-score, automated (right)",0.5,continuous-4125-both_sexes-irnt.tsv,,,,,,,,,,,,
696,4338,Pulse wave reflection index,0.01,continuous-4195-both_sexes-irnt.tsv,9,9,0,5,8,0,1.585231064625335e-06,0.625,True,0.2,500,
697,4338,Pulse wave reflection index,0.025,continuous-4195-both_sexes-irnt.tsv,8,4,0,5,8,0,5.623911994430099e-07,0.625,True,0.2,500,
698,4338,Pulse wave reflection index,0.05,continuous-4195-both_sexes-irnt.tsv,9,4,0,7,8,0,2.306943660919598e-07,0.875,True,0.2,500,
699,4338,Pulse wave reflection index,0.1,continuous-4195-both_sexes-irnt.tsv,6,0,0,7,8,0,1.238828735711339e-07,0.875,True,0.2,500,
700,4338,Pulse wave reflection index,0.25,continuous-4195-both_sexes-irnt.tsv,7,0,4,8,8,0,7.256331169476979e-08,1.0,True,0.2,500,
701,4338,Pulse wave reflection index,0.5,continuous-4195-both_sexes-irnt.tsv,7,0,5,8,8,0,5.990303338208063e-08,1.0,True,0.2,500,
702,4385,3mm weak meridian (left),0.01,continuous-5096-both_sexes-irnt.tsv,235,229,35,273,446,36,1.8500265746357504e-06,0.6121076233183856,True,0.2,500,
703,4385,3mm weak meridian (left),0.025,continuous-5096-both_sexes-irnt.tsv,,,,,,,,,,,,
704,4385,3mm weak meridian (left),0.05,continuous-5096-both_sexes-irnt.tsv,235,229,35,273,446,36,1.8500265746357504e-06,0.6121076233183856,True,0.2,500,
705,4385,3mm weak meridian (left),0.1,continuous-5096-both_sexes-irnt.tsv,,,,,,,,,,,,
706,4385,3mm weak meridian (left),0.25,continuous-5096-both_sexes-irnt.tsv,,,,,,,,,,,,
707,4385,3mm weak meridian (left),0.5,continuous-5096-both_sexes-irnt.tsv,236,229,36,273,446,36,1.8450406379570291e-06,0.6121076233183856,True,0.2,500,
708,4406,3mm cylindrical power (right),0.01,continuous-5116-both_sexes-irnt.tsv,11,11,1,8,12,1,1.897470073335772e-06,0.6666666666666666,True,0.2,500,
709,4406,3mm cylindrical power (right),0.025,continuous-5116-both_sexes-irnt.tsv,11,11,1,8,12,1,1.8974654763058436e-06,0.6666666666666666,True,0.2,500,
710,4406,3mm cylindrical power (right),0.05,continuous-5116-both_sexes-irnt.tsv,11,11,1,8,12,1,1.89745628231281e-06,0.6666666666666666,True,0.2,500,
711,4406,3mm cylindrical power (right),0.1,continuous-5116-both_sexes-irnt.tsv,11,11,1,8,12,1,1.8974378945940317e-06,0.6666666666666666,True,0.2,500,
712,4406,3mm cylindrical power (right),0.25,continuous-5116-both_sexes-irnt.tsv,11,11,1,8,12,1,1.897368943822511e-06,0.6666666666666666,True,0.2,500,
713,4406,3mm cylindrical power (right),0.5,continuous-5116-both_sexes-irnt.tsv,11,11,1,8,12,1,1.8965924446058845e-06,0.6666666666666666,True,0.2,500,
714,4430,Corneal resistance factor (right),0.01,continuous-5257-both_sexes-irnt.tsv,153,153,22,194,307,23,1.897470864249568e-06,0.6319218241042345,True,0.2,500,
715,4430,Corneal resistance factor (right),0.025,continuous-5257-both_sexes-irnt.tsv,153,153,22,194,307,23,1.897466267774521e-06,0.6319218241042345,True,0.2,500,
716,4430,Corneal resistance factor (right),0.05,continuous-5257-both_sexes-irnt.tsv,153,153,22,194,307,23,1.8974570748912336e-06,0.6319218241042345,True,0.2,500,
717,4430,Corneal resistance factor (right),0.1,continuous-5257-both_sexes-irnt.tsv,153,153,22,194,307,23,1.897438689391884e-06,0.6319218241042345,True,0.2,500,
718,4430,Corneal resistance factor (right),0.25,continuous-5257-both_sexes-irnt.tsv,153,153,22,194,307,23,1.897369746942453e-06,0.6319218241042345,True,0.2,500,
719,4430,Corneal resistance factor (right),0.5,continuous-5257-both_sexes-irnt.tsv,153,153,22,194,307,23,1.8966484498338932e-06,0.6319218241042345,True,0.2,500,
720,4451,Number in household,0.01,,,,,,,,,,,,,
721,4451,Number in household,0.025,,,,,,,,,,,,,
722,4451,Number in household,0.05,,,,,,,,,,,,,
723,4451,Number in household,0.1,,,,,,,,,,,,,
724,4451,Number in household,0.25,,,,,,,,,,,,,
725,4451,Number in household,0.5,,,,,,,,,,,,,
726,4452,Number of vehicles in household,0.01,,,,,,,,,,,,,
727,4452,Number of vehicles in household,0.025,,,,,,,,,,,,,
728,4452,Number of vehicles in household,0.05,,,,,,,,,,,,,
729,4452,Number of vehicles in household,0.1,,,,,,,,,,,,,
730,4452,Number of vehicles in household,0.25,,,,,,,,,,,,,
731,4452,Number of vehicles in household,0.5,,,,,,,,,,,,,
732,4453,Average total household income before tax,0.01,,,,,,,,,,,,,
733,4453,Average total household income before tax,0.025,,,,,,,,,,,,,
734,4453,Average total household income before tax,0.05,,,,,,,,,,,,,
735,4453,Average total household income before tax,0.1,,,,,,,,,,,,,
736,4453,Average total household income before tax,0.25,,,,,,,,,,,,,
737,4453,Average total household income before tax,0.5,,,,,,,,,,,,,
738,4460,Job involves heavy manual or physical work,0.01,continuous-816-both_sexes.tsv,21,21,2,11,30,2,1.897108351287501e-06,0.3666666666666666,True,0.2,500,
739,4460,Job involves heavy manual or physical work,0.025,continuous-816-both_sexes.tsv,21,21,2,11,30,2,1.8970991766512311e-06,0.3666666666666666,True,0.2,500,
740,4460,Job involves heavy manual or physical work,0.05,continuous-816-both_sexes.tsv,21,21,2,11,30,2,1.8970808276449063e-06,0.3666666666666666,True,0.2,500,
741,4460,Job involves heavy manual or physical work,0.1,continuous-816-both_sexes.tsv,23,17,2,16,30,2,1.458204498650628e-06,0.5333333333333333,True,0.2,500,
742,4460,Job involves heavy manual or physical work,0.25,continuous-816-both_sexes.tsv,30,2,14,26,30,2,8.993392238895485e-08,0.8666666666666667,True,0.2,500,
743,4460,Job involves heavy manual or physical work,0.5,continuous-816-both_sexes.tsv,30,2,21,28,30,2,6.372840503381023e-08,0.9333333333333332,True,0.2,500,
744,4463,Age completed full time education,0.01,continuous-845-both_sexes.tsv,58,58,5,44,90,5,1.897112475970548e-06,0.4888888888888889,True,0.2,500,
745,4463,Age completed full time education,0.025,continuous-845-both_sexes.tsv,58,58,5,44,90,5,1.8922851595475265e-06,0.4888888888888889,True,0.2,500,
746,4463,Age completed full time education,0.05,continuous-845-both_sexes.tsv,72,40,8,59,90,5,9.900377308490702e-07,0.6555555555555556,True,0.2,500,
747,4463,Age completed full time education,0.1,continuous-845-both_sexes.tsv,87,22,15,75,90,5,3.5580726208211733e-07,0.8333333333333334,True,0.2,500,
748,4463,Age completed full time education,0.25,continuous-845-both_sexes.tsv,94,12,36,84,90,5,1.2172719070755374e-07,0.9333333333333332,True,0.2,500,
749,4463,Age completed full time education,0.5,continuous-845-both_sexes.tsv,94,8,67,85,90,5,7.30816472053427e-08,0.9444444444444444,True,0.2,500,
750,4464,Number of days/week walked 10+ minutes,0.01,continuous-864-both_sexes.tsv,13,13,0,3,13,0,1.8363548061687104e-06,0.2307692307692307,True,0.2,500,
751,4464,Number of days/week walked 10+ minutes,0.025,continuous-864-both_sexes.tsv,13,13,0,3,13,0,1.8363548061687104e-06,0.2307692307692307,True,0.2,500,
752,4464,Number of days/week walked 10+ minutes,0.05,continuous-864-both_sexes.tsv,13,13,0,3,13,0,1.8363548061687104e-06,0.2307692307692307,True,0.2,500,
753,4464,Number of days/week walked 10+ minutes,0.1,continuous-864-both_sexes.tsv,13,13,0,3,13,0,1.8363376141292009e-06,0.2307692307692307,True,0.2,500,
754,4464,Number of days/week walked 10+ minutes,0.25,continuous-864-both_sexes.tsv,13,13,0,3,13,0,1.8345428187291752e-06,0.2307692307692307,True,0.2,500,
755,4464,Number of days/week walked 10+ minutes,0.5,continuous-864-both_sexes.tsv,13,13,0,3,13,0,1.8273602791156989e-06,0.2307692307692307,True,0.2,500,
756,4466,Duration of walks,0.01,continuous-874-both_sexes-irnt.tsv,16,16,1,4,11,1,1.8971374304215567e-06,0.3636363636363636,True,0.2,500,
757,4466,Duration of walks,0.025,continuous-874-both_sexes-irnt.tsv,16,16,1,4,11,1,1.8971374304215567e-06,0.3636363636363636,True,0.2,500,
758,4466,Duration of walks,0.05,continuous-874-both_sexes-irnt.tsv,16,16,1,4,11,1,1.8920728339953072e-06,0.3636363636363636,True,0.2,500,
759,4466,Duration of walks,0.1,continuous-874-both_sexes-irnt.tsv,18,12,1,4,11,1,9.76750898527125e-07,0.3636363636363636,True,0.2,500,
760,4466,Duration of walks,0.25,continuous-874-both_sexes-irnt.tsv,13,4,2,8,11,1,2.5058693989271744e-07,0.7272727272727273,True,0.2,500,
761,4466,Duration of walks,0.5,continuous-874-both_sexes-irnt.tsv,15,3,5,10,11,1,9.93875053187844e-08,0.9090909090909092,True,0.2,500,
762,4469,Number of days/week of vigorous physical activity 10+ minutes,0.01,continuous-904-both_sexes.tsv,23,23,1,12,17,1,1.89600373117196e-06,0.7058823529411765,True,0.2,500,
763,4469,Number of days/week of vigorous physical activity 10+ minutes,0.025,continuous-904-both_sexes.tsv,23,23,1,12,17,1,1.895948751036071e-06,0.7058823529411765,True,0.2,500,
764,4469,Number of days/week of vigorous physical activity 10+ minutes,0.05,continuous-904-both_sexes.tsv,23,23,1,12,17,1,1.8958525434704864e-06,0.7058823529411765,True,0.2,500,
765,4469,Number of days/week of vigorous physical activity 10+ minutes,0.1,continuous-904-both_sexes.tsv,23,23,1,12,17,1,1.895554820020826e-06,0.7058823529411765,True,0.2,500,
766,4469,Number of days/week of vigorous physical activity 10+ minutes,0.25,continuous-904-both_sexes.tsv,22,22,1,12,17,1,1.887142877759444e-06,0.7058823529411765,True,0.2,500,
767,4469,Number of days/week of vigorous physical activity 10+ minutes,0.5,continuous-904-both_sexes.tsv,19,1,7,16,17,1,1.3866359761380197e-07,0.9411764705882352,True,0.2,500,
768,4472,Usual walking pace,0.01,continuous-924-both_sexes.tsv,86,84,7,45,71,7,1.849446053900134e-06,0.6338028169014085,True,0.2,500,
769,4472,Usual walking pace,0.025,continuous-924-both_sexes.tsv,86,84,7,45,71,7,1.849446053900134e-06,0.6338028169014085,True,0.2,500,
770,4472,Usual walking pace,0.05,continuous-924-both_sexes.tsv,86,84,7,45,71,7,1.849446053900134e-06,0.6338028169014085,True,0.2,500,
771,4472,Usual walking pace,0.1,continuous-924-both_sexes.tsv,86,84,7,45,71,7,1.849446053900134e-06,0.6338028169014085,True,0.2,500,
772,4472,Usual walking pace,0.25,continuous-924-both_sexes.tsv,86,84,7,45,71,7,1.8487357207487413e-06,0.6338028169014085,True,0.2,500,
773,4472,Usual walking pace,0.5,continuous-924-both_sexes.tsv,86,84,7,45,71,7,1.8444634734058184e-06,0.6338028169014085,True,0.2,500,
774,4475,Frequency of stair climbing in last 4 weeks,0.01,continuous-943-both_sexes.tsv,22,21,1,12,15,1,1.823136346842461e-06,0.8,True,0.2,500,
775,4475,Frequency of stair climbing in last 4 weeks,0.025,continuous-943-both_sexes.tsv,22,21,1,12,15,1,1.823136346842461e-06,0.8,True,0.2,500,
